	description
CBM49	Created after Urbanowicz et al. (2007) J. Biol. Chem. 282:12066-74 (PMID: 17322304) Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).
CBM5	Previously known as cellulose-binding domain family V (CBD V). Modules of approx. 60 residues found in bacterial enzymes. Chitin-binding described in several cases. Distantly related to the CBM12 family.
CBM50	Also known as LysM domains Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.
CBM51	Also know as NPCBM domains Modules of approx. 150 residues found attached to various enzymes from  families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the  case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].
CBM52	 Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to beta-1,3-glucan demonstrated for  Schizosaccharomyces pombe 972h- endo-1,3-beta-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]
CBM53	Starch-binding demonstrated in one case. Starch-binding function demonstrated by Valdez et al. (2008) [PMID: 18260645]
CBM54	 Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press.
CBM55	 Binding to chitin demonstrated in the case of the CBM55 of Entamoeba histolytica chitinase (Van Dellen et al. (2002) Infect Immun. 70:3259â€“3263; PMID: 12011021).
CBM56	 beta-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]
CBM57	 Created from reading Schallus et al (2008) Mol Biol Cell. 19:3404-3414 [PMID: 18524852] and finding related domains attached to various glycosidases.
CBM58	 The CBM58 module of the Bacteroides thetaiotaomicron SusG protein has been shown to bind maltoheptaose
CBM59	 Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)
CBM6	Previously known as cellulose-binding domain family VI (CBD VI). Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and beta-1,4-xylan. Some of these modules also bind beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan.
CBM60	Family created after Montanier et al. (2010) [PMID: 20659893] Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].
CBM61	Family created after Cid et al. (2010) [PMID: 20826814] Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A beta-1,4-galactan binding function has been demonstrated for the CBM60 of Thermotoga maritima GH53 galactanase [PMID: 20826814].
CBM62	Created after Montanier et al. (2011) JBC, in press (doi:10.1074/jbc.M110.217372) The CBM62 module od Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.
CBM8	Previously known as cellulose-binding domain family VIII (CBD VIII). The cellulose-binding module from a cellulase of the slime mold Dictyostelium discoideum has been experimentally shown to bind cellulose.
CBM9	Previously known as cellulose-binding domain family IX (CBD IX). Modules of approx. 170 residues found so far only in xylanases. The cellulose-binding function has been demonstrated in one case.
CE1	Family CE1 also contains lots of other esterases such as PHB depolymerases. acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12)
CE10	WARNING: because the vast majority (if not all) of the members of this family are esterases acting on non-carbohydrate substrates, the information on this page is no longer updated (August 2002). arylesterase (EC 3.1.1.-);  carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).
CE11	 UDP-3-0-acyl N-acetylglucosamine deacetylase (EC 3.5.1.-).
CE12	 pectin acetylesterase (EC 3.1.1.-); rhamnogalacturonan acetylesterase (EC 3.1.1.-); acetyl xylan esterase (EC 3.1.1.72)
CE13	 pectin acetylesterase (EC 3.1.1.-)
CE14	 N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.89); diacetylchitobiose deacetylase (EC 3.5.1.-); mycothiol S-conjugate amidase (EC 3.5.1.-)
CE15	Formerly known as X100 modules; Created following a paper by Xin-Liang Li et al. (2007) FEBS Letters 581(21):4029-35  (PMID: 17678650). 4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.-)
CE16	Formerly known as X125 modules; created from Li et al. Appl. Environ. Microbiol., 74:7482-7489 (PMID: 18978092) acetylesterase (EC 3.1.1.6) active on various carbohydrate acetyl esters
CE2	 acetyl xylan esterase (EC 3.1.1.72).
CE3	 acetyl xylan esterase (EC 3.1.1.72).
CE4	 acetyl xylan esterase (EC 3.1.1.72);  chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).
CE5	There are many cutinases in the databanks. Only an example is given here as cutinases act on cutin rather than on carbohydrate esters. acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74)
CE6	 acetyl xylan esterase (EC 3.1.1.72).
CE7	 acetyl xylan esterase (EC 3.1.1.72); cephalosporin-C deacetylase (EC 3.1.1.41).
CE8	 pectin methylesterase (EC 3.1.1.11).
CE9	 N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25); N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.80).
GH1	 beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); hydroxyisourate hydrolase (EC 3.-.-.-); beta-glycosidase (EC 3.2.1.-)
GH10	formerly known as cellulase family F. endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32)
GH100	Created from Gallagher and Pollock (1998) J Exp Bot 322:789-795 and Sturm et al. (1999) Physiol Plantarum 107:159-165 alkaline and neutral invertase (EC 3.2.1.26)
GH101	Created after Fujita et al. (2005) J. Biol. Chem. 280:37415-37422 (PMID: 16141207); catalytic residue determination : Willis et al. (2009) Biochemistry 48:10334-41 (PMID: 19788271) endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97)
GH102	Corresponds to family 2 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84 peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH103	Corresponds to family 3 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84 peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH104	Corresponds to family 4 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84 peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH105	Created based on a paper by Itoh, Ochiai, Mikami, Hashimoto, and Murata (J. Mol. Biol. 360 (2006) 573-585) (PMID: 16781735) unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.-)
GH106	Created after reading Miyata et al (2005) Curr Microbiol. 51:105-109 alpha-L-rhamnosidase (EC 3.2.1.40)
GH107	Created after Colin et al. (2006) Glycobiology 16, 1021-1032 sulfated fucan endo-1,4-fucanase (EC 3.2.1.-)
GH108	Created after Emina A. Stojkoviae and Lucia B. Rothman-Denes (2007) J. Mol. Biol. 366:406-419. PMID:17174325 N-acetylmuramidase (EC 3.2.1.17)
GH109	Created following Liu et al. (2007) Nature Biotechnol 25:454-64 (PMID: 17401360); the enzymes in this family display an unusual mechanism involving NAD+ alpha-N-acetylgalactosaminidase (EC 3.2.1.49)
GH11	formerly known as cellulase family G xylanase (EC 3.2.1.8)
GH110	Created following Liu et al. (2007) Nature Biotechnol 25:454-64 (PMID: 17401360); mechanism described by Liu et al. (PMID: 18227066) alpha-galactosidase (EC 3.2.1.22); alpha-1,3-galactosidase (EC 3.2.1.-)
GH111	 keratan sulfate hydrolase (endo-beta-N-acetylglucosaminidase) (EC 3.2.1.-)
GH112	 lacto-N-biose phosphorylase or galacto-N-biose phosphorylase (EC 2.4.1.211); D-galactosyl-1,4-L-rhamnose phosphorylase (EC 2.4.1.-)
GH113	Created based on Zhang et al. (2008) J. Biol. Chem. 283, 31551-31558 (PMID:18755688) beta-mannanase (EC 3.2.1.78)
GH114	Activity shown in Tamura et al. (1995) Journal of Fermentation and Bioengineering 80:305-310 doi:10.1016/0922-338X(95)94196-X endo-alpha-1,4-polygalactosaminidase (EC 3.2.1.109)
GH115	created from reading Ryabova et al. (2009) FEBS Lett. in press xylan alpha-1,2-glucuronidase (3.2.1.131); alpha-(4-O-methyl)-glucuronidase (3.2.1.-)
GH116	 acid beta-glucosidase (EC 3.2.1.45); beta-glucosidase (EC 3.2.1.21); beta-xylosidase (EC 3.2.1.37)
GH117	Distantly related to family GH43 alpha-1,3-L-neoagarooligosaccharide hydrolase (EC 3.2.1.-); alpha-1,3-L-neoagarobiase / neoagarobiose hydrolase (EC 3.2.1.-)
GH118	 beta-agarase (EC 3.2.1.81)
GH119	Distantly related to family GH57; created after Watanabe H, Nishimoto T, Kubota M, Chaen H, Fukuda S. (2006) Biosci Biotechnol Biochem. 2006 Nov;70(11):2690-702 [PMID - 17090949] alpha-amylase (EC 3.2.1.1)
GH12	formerly known as cellulase family H. endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)
GH120	created after Shao W, Xue Y, Wu A, Kataeva I, Pei J, Wu H, Wiegel J (2010) Characterization of a novel beta-xylosidase XylC from Thermoanaerobacterium saccharolyticum JW/SL-YS485, Appl. Environ. Microbiol. (in press) beta-xylosidase (EC 3.2.1.37)
GH121	Created after Fujita et al. (2010) JBC, in press, PMID:21149454 beta-L-arabinobiosidase (EC 3.2.1.-)
GH122	Created after Confort et al. (2008) Appl Environ Microbiol. 74(4):1281-3 PMID:18156337 alpha-glucosidase (EC 3.2.1.20)
GH123	Created after Sumida T, Fujimoto K, Ito M. (2011) J Biol Chem. in press [PMID: 21297160] glycosphingolipid beta-N-acetylgalactosaminidase (EC 3.2.1.-)
GH124	Created after Bras et al. (2011) Proc.Natl.Acad.Sci.USA; distantly related to lytic transglycosylases of family GH23 endoglucanase (EC 3.2.1.4)
GH125	Created after Gregg, Zandberg, Hehemann, Whitworth, Deng, Vocadlo  Boraston (2011) J. Biol. Chem., in press exo-alpha-1,6-mannosidase (EC 3.2.1.-)
GH13	New: many members have been assigned to subfamilies as described by Stam et al. (2006) Protein Eng Des Sel. 19, 555-562 (PMID: 17085431) alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); amino acid transporter.
GH14	 beta-amylase (EC 3.2.1.2)
GH15	 glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28)
GH16	 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151)
GH17	 glucan endo-1,3-beta-glucosidase (EC 3.2.1.39); glucan 1,3-beta-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-).
GH18	Contains chitinases of classes III and V. Contains non-catalytic proteins such as xylanase inhibitor; concanavalin B; narbonin chitinase (EC 3.2.1.14); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); xylanase inhibitor; concanavalin B; narbonin
GH19	Contains chitinases of classes I, II, and IV. chitinase (EC 3.2.1.14).
GH2	 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165)
GH20	 beta-hexosaminidase (EC 3.2.1.52); lacto-N-biosidase (EC 3.2.1.140); beta-1,6-N-acetylglucosaminidase) (EC 3.2.1.-); beta-6-SO3-N-acetylglucosaminidase (EC 3.2.1.-)
GH22	Related a-lactalbumins are not included here lysozyme type C (EC 3.2.1.17); lysozyme type i (EC 3.2.1.17); alpha-lactalbumin
GH23	Corresponds to family 1 of the peptidoglycan lytic transglycosylases described by N.T. Blackburn and A.J. Clarke (2001) J. Mol. Evol. 52, 78-84; Note that 'peptidoglycan lytic transglycosylases' cleave peptidoglycan without intervention of a water molecule. lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.-) also known in the literature as peptidoglycan lytic transglycosylase
GH24	 lysozyme (EC 3.2.1.17)
GH25	 lysozyme (EC 3.2.1.17)
GH26	formerly known as cellulase family I. beta-mannanase (EC 3.2.1.78); beta-1,3-xylanase (EC 3.2.1.32)
GH27	Mechanistic commonality with family GH36 demonstrated by Comfort et al. (2007) Biochemistry 46:3319-3330 (PMID: 17323919). alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); isomalto-dextranase (EC 3.2.1.94); beta-L-arabinopyranosidase (EC 3.2.1.88)
GH28	 polygalacturonase (EC 3.2.1.15); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.-); endo-xylogalacturonan hydrolase (EC 3.2.1.-); rhamnogalacturonan alpha-L-rhamnopyranohydrolase (EC 3.2.1.40)
GH29	 alpha-L-fucosidase (EC 3.2.1.51)
GH3	 beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-N-acetylhexosaminidase (EC 3.2.1.52); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); exo-1,3-1,4-glucanase (EC 3.2.1.-); alphalpha-L-arabinofuranosidase (EC 3.2.1.55).
GH30	Following a recent paper by St John et al. (FEBS Letters, 2010, in press) several GH5 subfamilies have been reassigned to GH30. The subfamilies in GH30 are now indicated. glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); beta-glucosidase (3.2.1.21); endo-beta-1,6-galactanase (EC:3.2.1.164)
GH31	 alpha-glucosidase (EC 3.2.1.20); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.-); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-).
GH32	 invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-)
GH33	 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); 2-keto-3-deoxynononic acid sialidase (EC 3.2.1.-)
GH34	 sialidase or neuraminidase (EC 3.2.1.18)
GH35	 beta-galactosidase (EC 3.2.1.23); exo-beta-glucosaminidase (EC 3.2.1.165)
GH36	Mechanistic commonality with family GH27 demonstrated by Comfort et al. (2007) Biochemistry, 46: 3319-3330 (PMID: 17323919) alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82)
GH37	 alpha,alpha-trehalase (EC 3.2.1.28).
GH38	 alpha-mannosidase (EC 3.2.1.24) ; mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC 3.2.1.114); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-)
GH39	 alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).
GH4	The enzymes in this family display an unusual mechanism involving NAD+. maltose-6-phosphate glucosidase (EC 3.2.1.122); alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); 6-phospho-beta-glucosidase (EC 3.2.1.86); alpha-glucuronidase (EC 3.2.1.139).
