	description	short_description
PF07694	5TMR of 5TMR-LYT	5TM-5TMR_LYT
PF01367	5'-3' exonuclease, C-terminal SAM fold	5_3_exonuc
PF02739	5'-3' exonuclease, N-terminal resolvase-like domain	5_3_exonuc_N
PF05761	5' nucleotidase family	5_nucleotid
PF02872	5'-nucleotidase, C-terminal domain	5_nucleotid_C
PF02096	60Kd inner membrane protein	60KD_IMP
PF01591	6-phosphofructo-2-kinase	6PF2K
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain	6PGD
PF02495	7kD viral coat protein	7kD_coat
PF02294	7kD DNA-binding domain	7kD_DNA_binding
PF07698	7TM receptor with intracellular HD hydrolase	7TM-7TMR_HD
PF07696	7TMR-DISM extracellular 2	7TMR-DISMED2
PF07695	7TM diverse intracellular signalling	7TMR-DISM_7TM
PF07697	7TM-HD extracellular	7TMR-HDED
PF00001	7 transmembrane receptor (rhodopsin family)	7tm_1
PF00002	7 transmembrane receptor (Secretin family)	7tm_2
PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	7tm_3
PF13853	Olfactory receptor	7tm_4
PF02949	7tm Odorant receptor	7tm_6
PF08395	7tm Chemosensory receptor	7tm_7
PF02117	Serpentine type 7TM GPCR chemoreceptor Sra	7TM_GPCR_Sra
PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor	7TM_GPCR_Srab
PF02175	Serpentine type 7TM GPCR chemoreceptor Srb	7TM_GPCR_Srb
PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc	7TM_GPCR_Srbc
PF10317	Serpentine type 7TM GPCR chemoreceptor Srd	7TM_GPCR_Srd
PF10318	Serpentine type 7TM GPCR chemoreceptor Srh	7TM_GPCR_Srh
PF10327	Serpentine type 7TM GPCR chemoreceptor Sri	7TM_GPCR_Sri
PF10319	Serpentine type 7TM GPCR chemoreceptor Srj	7TM_GPCR_Srj
PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx	7TM_GPCR_Srsx
PF10321	Serpentine type 7TM GPCR chemoreceptor Srt	7TM_GPCR_Srt
PF10322	Serpentine type 7TM GPCR chemoreceptor Sru	7TM_GPCR_Sru
PF10323	Serpentine type 7TM GPCR chemoreceptor Srv	7TM_GPCR_Srv
PF10324	Serpentine type 7TM GPCR chemoreceptor Srw	7TM_GPCR_Srw
PF10328	Serpentine type 7TM GPCR chemoreceptor Srx	7TM_GPCR_Srx
PF10325	Serpentine type 7TM GPCR chemoreceptor Srz	7TM_GPCR_Srz
PF10326	Serpentine type 7TM GPCR chemoreceptor Str	7TM_GPCR_Str
PF14402	7 transmembrane helices usually fused to an inactive transglutaminase	7TM_transglut
PF07388	Alpha-2,8-polysialyltransferase (POLYST)	A-2_8-polyST
PF07966	A1 Propeptide	A1_Propeptide
PF08792	A2L zinc ribbon domain	A2L_zn_ribbon
PF00207	Alpha-2-macroglobulin family	A2M
PF07678	A-macroglobulin complement component	A2M_comp
PF01835	MG2 domain	A2M_N
PF07703	Alpha-2-macroglobulin family N-terminal region	A2M_N_2
PF07677	A-macroglobulin receptor	A2M_recep
PF00004	ATPase family associated with various cellular activities (AAA)	AAA
PF09820	Predicted AAA-ATPase	AAA-ATPase_like
PF12846	AAA-like domain	AAA_10
PF13086	AAA domain	AAA_11
PF13087	AAA domain	AAA_12
PF13166	AAA domain	AAA_13
PF13173	AAA domain	AAA_14
PF13175	AAA ATPase domain	AAA_15
PF13191	AAA ATPase domain	AAA_16
PF13207	AAA domain	AAA_17
PF13238	AAA domain	AAA_18
PF13245	Part of AAA domain	AAA_19
PF07724	AAA domain (Cdc48 subfamily)	AAA_2
PF13304	AAA domain	AAA_21
PF13401	AAA domain	AAA_22
PF13476	AAA domain	AAA_23
PF13479	AAA domain	AAA_24
PF13481	AAA domain	AAA_25
PF13500	AAA domain	AAA_26
PF13514	AAA domain	AAA_27
PF13521	AAA domain	AAA_28
PF13555	P-loop containing region of AAA domain	AAA_29
PF07726	ATPase family associated with various cellular activities (AAA)	AAA_3
PF13604	AAA domain	AAA_30
PF13614	AAA domain	AAA_31
PF13654	AAA domain	AAA_32
PF13671	AAA domain	AAA_33
PF13872	P-loop containing NTP hydrolase pore-1	AAA_34
PF14516	AAA-like domain	AAA_35
PF04326	Divergent AAA domain	AAA_4
PF07728	AAA domain (dynein-related subfamily)	AAA_5
PF12774	Hydrolytic ATP binding site of dynein motor region D1	AAA_6
PF12775	P-loop containing dynein motor region D3	AAA_7
PF12780	P-loop containing dynein motor region D4	AAA_8
PF12781	ATP-binding dynein motor region D5	AAA_9
PF14363	Domain associated at C-terminal with AAA	AAA_assoc
PF09821	C-terminal AAA-associated domain	AAA_assoc_C
PF08298	PrkA AAA domain	AAA_PrkA
PF04611	Mating type protein A alpha Y mating type dependent binding region	AalphaY_MDB
PF03306	Alpha-acetolactate decarboxylase	AAL_decarboxy
PF05282	AAR2 protein	AAR2
PF08142	AARP2CN (NUC121) domain	AARP2CN
PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	AAT
PF07247	Alcohol acetyltransferase	AATase
PF13339	Apoptosis antagonizing transcription factor	AATF-Che1
PF00696	Amino acid kinase family	AA_kinase
PF00324	Amino acid permease	AA_permease
PF13520	Amino acid permease	AA_permease_2
PF13906	C-terminus of AA_permease	AA_permease_C
PF08403	Amino acid permease N-terminal	AA_permease_N
PF06684	Amino acid synthesis	AA_synth
PF01490	Transmembrane amino acid transporter protein	Aa_trans
PF12430	Abscisic acid G-protein coupled receptor	ABA_GPCR
PF02496	ABA/WDS induced protein	ABA_WDS
PF14156	Antirepressor AbbA	AbbA_antirepres
PF00950	ABC 3 transport family	ABC-3
PF03109	ABC1 family	ABC1
PF01061	ABC-2 type transporter	ABC2_membrane
PF12679	ABC-2 family transporter protein	ABC2_membrane_2
PF12698	ABC-2 family transporter protein	ABC2_membrane_3
PF12730	ABC-2 family transporter protein	ABC2_membrane_4
PF13346	ABC-2 family transporter protein	ABC2_membrane_5
PF06182	ABC-2 family transporter protein	ABC2_membrane_6
PF09818	Predicted ATPase of the ABC class	ABC_ATPase
PF09819	ABC-type cobalt transport system, permease component	ABC_cobalt
PF00664	ABC transporter transmembrane region	ABC_membrane
PF06472	ABC transporter transmembrane region 2	ABC_membrane_2
PF13748	ABC transporter transmembrane region	ABC_membrane_3
PF04392	ABC transporter substrate binding protein	ABC_sub_bind
PF00005	ABC transporter	ABC_tran
PF09822	ABC-type uncharacterized transport system	ABC_transp_aux
PF14510	ABC-transporter extracellular N-terminal	ABC_trans_N
PF12848	ABC transporter	ABC_tran_2
PF12407	Homeobox protein	Abdominal-A
PF05270	Alpha-L-arabinofuranosidase B (ABFB)	AbfB
PF03806	AbgT putative transporter family	ABG_transport
PF00561	alpha/beta hydrolase fold	Abhydrolase_1
PF02230	Phospholipase/Carboxylesterase	Abhydrolase_2
PF07859	alpha/beta hydrolase fold	Abhydrolase_3
PF08386	TAP-like protein	Abhydrolase_4
PF12695	Alpha/beta hydrolase family	Abhydrolase_5
PF12697	Alpha/beta hydrolase family	Abhydrolase_6
PF12715	Abhydrolase family	Abhydrolase_7
PF06259	Alpha/beta hydrolase	Abhydrolase_8
PF10081	Alpha/beta-hydrolase family	Abhydrolase_9
PF15420	Alpha/beta-hydrolase family N-terminus	Abhydrolase_9_N
PF04083	Partial alpha/beta-hydrolase lipase region	Abhydro_lipase
PF02517	CAAX protease self-immunity	Abi
PF14253	Bacteriophage abortive infection AbiH	AbiH
PF07751	Abi-like protein	Abi_2
PF14355	Abortive infection C-terminus	Abi_C
PF07815	Abl-interactor HHR	Abi_HHR
PF03992	Antibiotic biosynthesis monooxygenase	ABM
PF09441	ARS binding protein 2	Abp2
PF14250	AbrB-like transcriptional regulator	AbrB-like
PF13000	Acetyl-coenzyme A transporter 1	Acatn
PF00887	Acyl CoA binding protein	ACBP
PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	ACCA
PF08326	Acetyl-CoA carboxylase, central region	ACC_central
PF13822	Acyl-CoA carboxylase epsilon subunit	ACC_epsilon
PF14733	AP2-coincident C-terminal	ACDC
PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)	AceK
PF00871	Acetokinase family	Acetate_kinase
PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation	AcetDehyd-dimer
PF08882	Acetone carboxylase gamma subunit	Acetone_carb_G
PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain	AcetylCoA_hydro
PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	AcetylCoA_hyd_C
PF00583	Acetyltransferase (GNAT) family	Acetyltransf_1
PF13673	Acetyltransferase (GNAT) domain	Acetyltransf_10
PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2	Acetyltransf_11
PF13880	ESCO1/2 acetyl-transferase	Acetyltransf_13
PF00797	N-acetyltransferase	Acetyltransf_2
PF13302	Acetyltransferase (GNAT) domain	Acetyltransf_3
PF13420	Acetyltransferase (GNAT) domain	Acetyltransf_4
PF13444	Acetyltransferase (GNAT) domain	Acetyltransf_5
PF13480	Acetyltransferase (GNAT) domain	Acetyltransf_6
PF13508	Acetyltransferase (GNAT) domain	Acetyltransf_7
PF13523	Acetyltransferase (GNAT) domain	Acetyltransf_8
PF13527	Acetyltransferase (GNAT) domain	Acetyltransf_9
PF14542	GCN5-related N-acetyl-transferase	Acetyltransf_CG
PF08674	Acetylcholinesterase tetramerisation domain	AChE_tetra
PF15270	Metallo-carboxypeptidase inhibitor	ACI44
PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)	Acid_phosphat_B
PF12689	Acid Phosphatase	Acid_PPase
PF00330	Aconitase family (aconitate hydratase)	Aconitase
PF06434	Aconitate hydratase 2 N-terminus	Aconitase_2_N
PF11791	Aconitate B N-terminal domain	Aconitase_B_N
PF00694	Aconitase C-terminal domain	Aconitase_C
PF01756	Acyl-CoA oxidase	ACOX
PF06857	Malonate decarboxylase delta subunit (MdcD)	ACP
PF05777	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)	Acp26Ab
PF06313	Drosophila ACP53EA protein	ACP53EA
PF01648	4'-phosphopantetheinyl transferase superfamily	ACPS
PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	ACP_syn_III
PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	ACP_syn_III_C
PF00873	AcrB/AcrD/AcrF family	ACR_tran
PF01842	ACT domain	ACT
PF09192	Actin-fragmin kinase, catalytic	Act-Frag_cataly
PF05058	ActA Protein	ActA
PF00976	Corticotropin ACTH domain	ACTH_domain
PF00022	Actin	Actin
PF14408	Ribosomally synthesized peptide in actinomycetes	Actino_peptide
PF11657	Transcriptional activator TraM	Activator-TraM
PF11498	Transcriptional activator LAG-3	Activator_LAG-3
PF01064	Activin types I and II receptor domain	Activin_recp
PF10000	ACT domain	ACT_3
PF13291	ACT domain	ACT_4
PF13710	ACT domain	ACT_5
PF13740	ACT domain	ACT_6
PF13840	ACT domain	ACT_7
PF01643	Acyl-ACP thioesterase	Acyl-ACP_TE
PF00441	Acyl-CoA dehydrogenase, C-terminal domain	Acyl-CoA_dh_1
PF08028	Acyl-CoA dehydrogenase, C-terminal domain	Acyl-CoA_dh_2
PF12806	Acetyl-CoA dehydrogenase C-terminal like	Acyl-CoA_dh_C
PF02770	Acyl-CoA dehydrogenase, middle domain	Acyl-CoA_dh_M
PF02771	Acyl-CoA dehydrogenase, N-terminal domain	Acyl-CoA_dh_N
PF14749	Acyl-coenzyme A oxidase N-terminal	Acyl-CoA_ox_N
PF12590	Acyl-ATP thioesterase	Acyl-thio_N
PF12186	Acyl-CoA dehydrogenase C terminal	AcylCoA_dehyd_C
PF12418	Acyl-CoA dehydrogenase N terminal	AcylCoA_DH_N
PF00708	Acylphosphatase	Acylphosphatase
PF01553	Acyltransferase	Acyltransferase
PF02551	Acyl-CoA thioesterase	Acyl_CoA_thio
PF00698	Acyl transferase domain	Acyl_transf_1
PF02273	Acyl transferase	Acyl_transf_2
PF01757	Acyltransferase family	Acyl_transf_3
PF09793	Anticodon-binding domain	AD
PF10198	Histone acetyltransferases subunit 3	Ada3
PF08516	ADAM cysteine-rich	ADAM_CR
PF05986	ADAM-TS Spacer 1	ADAM_spacer1
PF10199	Alpha and gamma adaptin binding protein p34	Adaptin_binding
PF01602	Adaptin N terminal region	Adaptin_N
PF00928	Adaptor complexes medium subunit family	Adap_comp_sub
PF02805	Metal binding domain of Ada	Ada_Zn_binding
PF06314	Acetoacetate decarboxylase (ADC)	ADC
PF13382	Adenine deaminase C-terminal domain	Adenine_deam_C
PF03352	Methyladenine glycosylase	Adenine_glyco
PF04008	Adenosine specific kinase	Adenosine_kin
PF02438	Late 100kD protein	Adeno_100
PF03052	Adenoviral protein L1 52/55-kDa	Adeno_52K
PF02703	Early E1A protein	Adeno_E1A
PF01691	Adenovirus E1B 19K protein / small t-antigen	Adeno_E1B_19K
PF01696	Adenovirus EB1 55K protein / large t-antigen	Adeno_E1B_55K
PF04623	Adenovirus E1B protein N-terminus	Adeno_E1B_55K_N
PF06040	Adenovirus E3 protein	Adeno_E3
PF05248	Adenovirus E3A	Adeno_E3A
PF03376	Adenovirus E3B protein	Adeno_E3B
PF04834	Early E3 14.5 kDa protein	Adeno_E3_14_5
PF03307	Adenovirus 15.3kD protein in E3 region	Adeno_E3_15_3
PF02440	Adenovirus E3 region protein CR1	Adeno_E3_CR1
PF02439	Adenovirus E3 region protein CR2	Adeno_E3_CR2
PF05385	Mastadenovirus early E4 13 kDa protein	Adeno_E4
PF04528	Adenovirus early E4 34 kDa protein conserved region	Adeno_E4_34
PF06931	Mastadenovirus E4 ORF3 protein	Adeno_E4_ORF3
PF04881	Adenovirus GP19K	Adeno_GP19K
PF01065	Hexon, adenovirus major coat protein, N-terminal domain	Adeno_hexon
PF03678	Hexon, adenovirus major coat protein, C-terminal domain	Adeno_hexon_C
PF02456	Adenovirus IVa2 protein	Adeno_IVa2
PF00541	Adenoviral fibre protein (knob domain)	Adeno_knob
PF01686	Adenovirus penton base protein	Adeno_Penton_B
PF03955	Adenovirus hexon-associated protein (IX)	Adeno_PIX
PF03910	Adenovirus minor core protein PV	Adeno_PV
PF01310	Adenovirus hexon associated protein, protein VIII	Adeno_PVIII
PF05829	Adenovirus late L2 mu core protein (Protein X)	Adeno_PX
PF00608	Adenoviral fibre protein (repeat/shaft region)	Adeno_shaft
PF02459	Adenoviral DNA terminal protein	Adeno_terminal
PF03228	Adenoviral core protein VII	Adeno_VII
PF01295	Adenylate cyclase, class-I	Adenylate_cycl
PF00709	Adenylosuccinate synthetase	Adenylsucc_synt
PF12633	Adenylate cyclase NT domain	Adenyl_cycl_N
PF04439	Streptomycin adenylyltransferase	Adenyl_transf
PF09085	Adhesion molecule, immunoglobulin-like	Adhes-Ig_like
PF04619	Dr-family adhesin	Adhesin_Dr
PF03257	Mycoplasma adhesin P1	Adhesin_P1
PF08240	Alcohol dehydrogenase GroES-like domain	ADH_N
PF13823	Alcohol dehydrogenase GroES-associated	ADH_N_assoc
PF00106	short chain dehydrogenase	adh_short
PF13561	Enoyl-(Acyl carrier protein) reductase	adh_short_C2
PF00107	Zinc-binding dehydrogenase	ADH_zinc_N
PF13602	Zinc-binding dehydrogenase	ADH_zinc_N_2
PF11559	Afadin- and alpha -actinin-Binding	ADIP
PF15202	Adipogenin	Adipogenin
PF06377	Adipokinetic hormone	Adipokin_hormo
PF00406	Adenylate kinase	ADK
PF05191	Adenylate kinase, active site lid	ADK_lid
PF05221	S-adenosyl-L-homocysteine hydrolase	AdoHcyase
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	AdoHcyase_NAD
PF08132	S-adenosyl-l-methionine decarboxylase leader peptide	AdoMetDC_leader
PF02675	S-adenosylmethionine decarboxylase	AdoMet_dc
PF07757	Predicted AdoMet-dependent methyltransferase	AdoMet_MTase
PF01941	S-adenosylmethionine synthetase (AdoMet synthetase)	AdoMet_Synthase
PF03496	ADP-ribosyltransferase exoenzyme	ADPrib_exo_Tox
PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region	ADP_PFK_GK
PF03747	ADP-ribosylglycohydrolase	ADP_ribosyl_GH
PF10397	Adenylosuccinate lyase C-terminus	ADSL_C
PF08509	Adenylate cyclase G-alpha binding domain	Ad_cyc_g-alpha
PF06355	Aegerolysin	Aegerolysin
PF01117	Aerolysin toxin	Aerolysin
PF05110	AF-4 proto-oncoprotein	AF-4
PF14591	AF0941-like	AF0941-like
PF15017	Drug resistance and apoptosis regulator	AF1Q
PF14556	AF2331-like	AF2331-like
PF05775	Enterobacteria AfaD invasin protein	AfaD
PF15339	Acrosome formation-associated factor	Afaf
PF03969	AFG1-like ATPase	AFG1_ATPase
PF07792	Docking domain of Afi1 for Arf3 in vesicle trafficking	Afi1
PF08493	Aflatoxin regulatory protein	AflR
PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3	AFOR_C
PF02730	Aldehyde ferredoxin oxidoreductase, N-terminal domain	AFOR_N
PF02420	Insect antifreeze protein repeat	AFP
PF03756	A-factor biosynthesis hotdog domain	AfsA
PF08731	Transcription factor AFT	AFT
PF11786	Aft1 HRA domain	Aft1_HRA
PF11787	Aft1 HRR domain	Aft1_HRR
PF11785	Aft1 osmotic stress response (OSM) domain	Aft1_OSA
PF12249	Arabinofuranosyltransferase A C terminal	AftA_C
PF12250	Arabinofuranosyltransferase N terminal	AftA_N
PF04671	Erythrocyte membrane-associated giant protein antigen 332	Ag332
PF05641	Agenet domain	Agenet
PF07468	Agglutinin	Agglutinin
PF05039	Agouti protein	Agouti
PF10427	Argonaute hook	Ago_hook
PF04647	Accessory gene regulator B	AgrB
PF05931	Staphylococcal AgrD protein	AgrD
PF04730	Agrobacterium VirD5 protein	Agro_virD5
PF11440	DNA alpha-glucosyltransferase	AGT
PF06396	Angiotensin II, type I receptor-associated protein (AGTRAP)	AGTRAP
PF09229	Activator of Hsp90 ATPase, N-terminal	Aha1_N
PF14412	A nuclease family of the HNH/ENDO VII superfamily with conserved AHH	AHH
PF00578	AhpC/TSA family	AhpC-TSA
PF13911	AhpC/TSA antioxidant enzyme	AhpC-TSA_2
PF02682	Allophanate hydrolase subunit 1	AHS1
PF02626	Allophanate hydrolase subunit 2	AHS2
PF08327	Activator of Hsp90 ATPase homolog 1-like protein	AHSA1
PF09236	Alpha-haemoglobin stabilising protein	AHSP
PF15334	Aurora kinase A and ninein interacting protein	AIB
PF01808	AICARFT/IMPCHase bienzyme	AICARFT_IMPCHas
PF14186	Cytoskeletal adhesion	Aida_C2
PF08910	Aida N-terminus	Aida_N
PF14962	Mitochondria Localisation Sequence	AIF-MLS
PF14721	Apoptosis-inducing factor, mitochondrion-associated, C-term	AIF_C
PF04548	AIG1 family	AIG1
PF06094	AIG2-like family	AIG2
PF13772	AIG2-like family	AIG2_2
PF06316	Enterobacterial Ail/Lom protein	Ail_Lom
PF01987	Mitochondrial biogenesis AIM24	AIM24
PF03915	Actin interacting protein 3	AIP3
PF10592	AIPR protein	AIPR
PF00731	AIR carboxylase	AIRC
PF00586	AIR synthase related protein, N-terminal domain	AIRS
PF02769	AIR synthase related protein, C-terminal domain	AIRS_C
PF15298	AJAP1/PANP C-terminus	AJAP1_PANP_C
PF14469	28 kDa A-kinase anchor	AKAP28
PF15304	A-kinase anchor protein 2 C-terminus	AKAP2_C
PF10469	AKAP7 2'5' RNA ligase-like domain	AKAP7_NLS
PF10470	PKA-RI-RII subunit binding domain of A-kinase anchor protein	AKAP7_RIRII_bdg
PF04988	A-kinase anchoring protein 95 (AKAP95)	AKAP95
PF05716	A-kinase anchor protein 110 kDa (AKAP 110)	AKAP_110
PF12443	AT-hook-containing transcription factor	AKNA
PF00490	Delta-aminolevulinic acid dehydratase	ALAD
PF01262	Alanine dehydrogenase/PNT, C-terminal domain	AlaDh_PNT_C
PF05222	Alanine dehydrogenase/PNT, N-terminal domain	AlaDh_PNT_N
PF00842	Alanine racemase, C-terminal domain	Ala_racemase_C
PF01168	Alanine racemase, N-terminal domain	Ala_racemase_N
PF09135	Alb1	Alb1
PF01918	Alba	Alba
PF08027	Albumin I	Albumin_I
PF11606	Family 31 carbohydrate binding protein	AlcCBM31
PF00171	Aldehyde dehydrogenase family	Aldedh
PF01081	KDPG and KHG aldolase	Aldolase
PF10120	Putative aldolase	Aldolase_2
PF00596	Class II Aldolase and Adducin N-terminal domain	Aldolase_II
PF01263	Aldose 1-epimerase	Aldose_epim
PF00248	Aldo/keto reductase family	Aldo_ket_red
PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	Ald_Xan_dh_C
PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase	Ald_Xan_dh_C2
PF03752	Short repeats of unknown function	ALF
PF08660	Oligosaccharide biosynthesis protein Alg14 like	Alg14
PF05208	ALG3 protein	ALG3
PF03155	ALG6, ALG8 glycosyltransferase family	Alg6_Alg8
PF11182	Alginate O-acetyl transferase AlgF	AlgF
PF13372	Alginate export	Alginate_exp
PF05426	Alginate lyase	Alginate_lyase
PF08787	Alginate lyase	Alginate_lyase2
PF13949	ALIX V-shaped domain binding to HIV	ALIX_LYPXL_bnd
PF06029	AlkA N-terminal domain	AlkA_N
PF14864	Alkyl sulfatase C-terminal	Alkyl_sulf_C
PF14863	Alkyl sulfatase dimerisation	Alkyl_sulf_dimr
PF00245	Alkaline phosphatase	Alk_phosphatase
PF03561	Allantoicase repeat	Allantoicase
PF05953	Allatostatin	Allatostatin
PF06351	Allene oxide cyclase	Allene_ox_cyc
PF05549	Allexivirus 40kDa protein	Allexi_40kDa
PF04864	Allinase	Alliinase_C
PF15309	ALMS motif	ALMS_motif
PF11744	Aluminium activated malate transporter	ALMT
PF04030	D-arabinono-1,4-lactone oxidase	ALO
PF06401	Alpha-2-macroglobulin RAP, C-terminal domain	Alpha-2-MRAP_C
PF06400	Alpha-2-macroglobulin RAP, N-terminal domain	Alpha-2-MRAP_N
PF00128	Alpha amylase, catalytic domain	Alpha-amylase
PF02806	Alpha amylase, C-terminal all-beta domain	Alpha-amylase_C
PF02903	Alpha amylase, N-terminal ig-like domain	Alpha-amylase_N
PF09071	Alpha-amylase, C terminal	Alpha-amyl_C
PF07821	Alpha-amylase C-terminal beta-sheet domain	Alpha-amyl_C2
PF04168	A predicted alpha-helical domain with a conserved ER motif.	Alpha-E
PF14456	Alpha-helical domain 2	alpha-hel2
PF06964	Alpha-L-arabinofuranosidase C-terminus	Alpha-L-AF_C
PF09261	Alpha mannosidase, middle domain	Alpha-mann_mid
PF08829	Alpha C protein N terminal	AlphaC_N
PF02883	Adaptin C-terminal domain	Alpha_adaptinC2
PF02296	Alpha adaptin AP2, C-terminal domain	Alpha_adaptin_C
PF01589	Alphavirus E1 glycoprotein	Alpha_E1_glycop
PF00943	Alphavirus E2 glycoprotein	Alpha_E2_glycop
PF01563	Alphavirus E3 glycoprotein	Alpha_E3_glycop
PF03229	Alphavirus glycoprotein J	Alpha_GJ
PF02816	Alpha-kinase family	Alpha_kinase
PF01120	Alpha-L-fucosidase	Alpha_L_fucos
PF02232	Alpha trans-inducing protein (Alpha-TIF)	Alpha_TIF
PF09608	Putative transmembrane protein (Alph_Pro_TM)	Alph_Pro_TM
PF15299	Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8	ALS2CR8
PF10369	Small subunit of acetolactate synthase	ALS_ss_C
PF11092	Neuronal protein 3.1 (p311)	Alveol-reg_P311
PF02430	Apical membrane antigen 1	AMA-1
PF07344	Amastin surface glycoprotein	Amastin
PF03913	Amb V Allergen	Amb_V_allergen
PF12475	Amdovirus non-structural protein	Amdo_NSP
PF05111	Ameloblastin precursor (Amelin)	Amelin
PF02948	Amelogenin	Amelogenin
PF12190	Fungal protease inhibitor	amfpi-1
PF04709	Anti-Mullerian hormone, N terminal region	AMH_N
PF01425	Amidase	Amidase
PF12123	N-acetylmuramoyl-l-alanine amidase	Amidase02_C
PF01510	N-acetylmuramoyl-L-alanine amidase	Amidase_2
PF01520	N-acetylmuramoyl-L-alanine amidase	Amidase_3
PF05382	Bacteriophage peptidoglycan hydrolase	Amidase_5
PF12671	Putative amidase domain	Amidase_6
PF02274	Amidinotransferase	Amidinotransf
PF01979	Amidohydrolase family	Amidohydro_1
PF04909	Amidohydrolase	Amidohydro_2
PF07969	Amidohydrolase family	Amidohydro_3
PF13147	Amidohydrolase	Amidohydro_4
PF13594	Amidohydrolase	Amidohydro_5
PF12224	Putative amidoligase enzyme	Amidoligase_2
PF09663	Amidohydrolase ring-opening protein (Amido_AtzD_TrzD)	Amido_AtzD_TrzD
PF11741	AMIN domain	AMIN
PF10706	Aminoglycoside-2''-adenylyltransferase	Aminoglyc_resit
PF00155	Aminotransferase class I and II	Aminotran_1_2
PF00202	Aminotransferase class-III	Aminotran_3
PF01063	Aminotransferase class IV	Aminotran_4
PF00266	Aminotransferase class-V	Aminotran_5
PF12897	Alanine-glyoxylate amino-transferase	Aminotran_MocR
